provider,case_id,docket_number,court,docket_id,entry_id,entry_number,h_scheduled,h_rescheduled,h_held,h_cancelled,d_set,d_rescheduled,d_met_filed,d_cancelled
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,463398262,,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,461341257,,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,463763079,,0,0,0,0,0,0,1,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,463763080,,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456320233,1208828684,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456324568,1208828702,0,0,0,0,11,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456841368,1208829661,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456897490,1208829735,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456940788,1208829854,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,456956807,1208829888,0,0,0,0,0,0,1,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457005995,1208830023,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457015157,1208830045,0,0,0,0,0,0,1,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457056523,1208830127,0,0,0,0,0,0,1,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457058544,1208830145,0,0,0,0,2,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457122575,1208830425,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457122935,1208830434,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457166590,1208830529,0,0,0,0,0,0,0,0
anthropic/claude-haiku-4-5,anthropic-v-dow,26-1049,cadc,72380208,457351592,1208831045,0,0,0,0,0,0,0,0
